foursquare_id,name,short_name
55a5a1ebe4b013909087cb8f,サルデーニャ料理店,サルデーニャ
55a5a1ebe4b013909087cb86,シチリア料理店,シチリア
55a5a1ebe4b013909087cbb9,南ティロル料理店,南ティロル
55a5a1ebe4b013909087cb7f,トラットリア/オステリア,トラットリア/オステリア
55a5a1ebe4b013909087cbbc,トレント料理店,トレント
55a5a1ebe4b013909087cb9e,トスカーナ料理店,トスカーナ
55a5a1ebe4b013909087cbc2,ウンブリア料理店,ウンブリア
55a5a1ebe4b013909087cbad,ヴェネト料理店,ヴェネト
52e81612bcbc57f1066b79fd,ユダヤ料理店,ユダヤ料理
52e81612bcbc57f1066b79fc,コー​​シャ料理店,コー​​シャ
4bf58dd8d48988d112941735,ジューススタンド,ジューススタンド
5283c7b4e4b094cb91ec88d7,ケバブ料理店,ケバブ
4bf58dd8d48988d1be941735,ラテンアメリカ料理店,ラテンアメリカ料理
4bf58dd8d48988d152941735,ベネズエラ料理店,ベネズエラ料理
52939a8c3cf9994f4e043a35,エンパナーダ料理店,エンパナーダ
5745c7ac498e5d0483112fdb,エルサルバドル料理レストラン,エルサルバドル
4bf58dd8d48988d1cd941735,南米料理店,南米料理
4bf58dd8d48988d107941735,アルゼンチン料理店,アルゼンチン料理
4bf58dd8d48988d16b941735,ブラジル料理店,ブラジル料理
5294c7523cf9994f4e043a62,Acai House,Acai
52939ae13cf9994f4e043a3b,バイアーノ料理店,バイアーノ
52939a9e3cf9994f4e043a36,中央ブラジル料理店,中央ブラジル料理
52939a643cf9994f4e043a33,Churrascaria,Churrascaria
5294c55c3cf9994f4e043a61,Empada House,Empadas
52939af83cf9994f4e043a3d,ゴイアーノ料理店,ゴイアーノ
52939aed3cf9994f4e043a3c,ミネイロ料理店,ミネイロ
52939aae3cf9994f4e043a37,東北ブラジル料理店,東北ブラジル料理
52939ab93cf9994f4e043a38,北ブラジル料理店,北ブラジル料理
5294cbda3cf9994f4e043a63,Pastelaria,Pastelaria
52939ac53cf9994f4e043a39,南東ブラジル料理店,南東ブラジル料理
52939ad03cf9994f4e043a3a,南ブラジル料理店,南ブラジル料理
52939a7d3cf9994f4e043a34,Tapiocaria,Tapiocaria
58daa1558bbb0b01f18ec1f4,コロンビア料理店,コロンビア料理
4eb1bfa43b7b52c0e1adc2e8,ペルー料理店,ペルー料理
56aa371be4b08b9a8d573558,ベネズエラ料理店,ベネズエラ料理
4bf58dd8d48988d1bf941735,マカロニチーズ料理店,マカロニチーズ
4bf58dd8d48988d1c0941735,地中海料理店,地中海料理
4bf58dd8d48988d1c3941735,モロッコ料理店,モロッコ料理
